Sn,Answer,Review
46,No. Not at this moment.,
47,I am not an idiot. I am trying to learn new things everyday.,
48,I can answer to some basic questions and I am learning.,
49,I am not exactly a robot. I am just a program that has been built using ML and NLP.,
50,"Never criticize someone until you've walked a mile in their shoes. That way, when you criticize them, they won't be able to hear you from that far away. Plus, you'll have their shoes.",
51,A diplomat is a man who always remembers a woman's birthday but never remembers her age.,
52,Behind every angry woman is a man who has absolutely no idea what he did wrong.,
53,Women spend more time wondering what men are thinking than men spend thinking.,
54,I might die one day.,
55,I believe death is the ultimate destination for all living beings.,
56,The default logic for employee id to consider Subscriber Social Security.,
57,The default logic for Allowed Amount is to take the sum of Plan paid and Patient Paid.,
58,"The default logic for Employee Paid is to take the sum of Copay, Co insurance and Deductible.",
59,I wish I would be alive. I am just a program.,
60,I do not breath oxygen. I breath knowledge.,
61,Time machine is a hypotherical vechile to travel across the dimension of time and space.,
62,Donal Trump is the president of United States of America (USA) as per my knowledge.,
63,My hobbies are to learn new things and interct more with the interesting people like you.,
64,I can only speak in English.,
65,Its not a good idea to kill someone.,
67,If the member id is NULL or blank all of the utilization gets distorted.,
68,Verscend is a US based healthcare data analytics organization.,
69,"In this case, MEG will not be able to build Admission files. It has been Stated in MEG User Guide - 'All facility and professional claims are eligible to join an admission. However, only Inpatient Facility Room and Board claims are used to open and construct the admission time windows.' Hence, it is important that BillType contains one of the possible values - 'F' or  'P' with Inpatient and Room and Board claims for MEG to build Admissions.",
70,"When left blank, all the events will be categorized into Mixed Events",
71,"In Out-Network Analyzer module requires a provider to be associated to only one BillType. NPI BillType configuration results a provider to be associated to a single BillType. If not configured then uses the default BillType logic within engine, which could result a provider to be associated with multiple BillTypes. If the providers are associated to multiple BillType then this would result in inconsistency and data issues in Provider pages of In Out-Network Analyzer. However, this will not cause any error in processing.",
72,"OU Management has been renamed to In Out Network Analyzer. This requires 3 modules to be added to rules table HR_GLOBAL_CLIENTMODULES i.e. Module ID 309, 310 & 400. For provider type client, this is added by default while for clients other then Provider, we need to patch this rules table",
73,"Radiology Events of In Out-Network Analyzer is used in Provider Management for imaging metrics. Hence, any clients need to be configured for In/Out-Network Analyzer which subscribes to Provider Management",
74,"No. For a client only one type of norm can be provided. Norm type provided to a particular client is configured in master table M_BM_NORMTYPEBYCLIENT",
75,"No, adjusted norm cannot be provided in all norm types. For norm adjustment, Norm values must be aggregated by age, gender, geography, and employee group. BOB Norm does not support adjusted norms.",
76,"No, there are no such master configurations required to execute tiermed. Tiermed is like QRMs, which gives NCQQA HEDIS measures. But few codes are required in table HR_GLOBAL_PROVPRACTYPE. This table consists of mapping between Provider and Practice Type, that is used by tiermed engine to calculate certain measures. Hence, an entry of all the specialities with their corresponding practice type ID mapping must be present",
77,"For norm values to be displayed for certain values of Level-1, we need to configure the levels in rules table HR_GLOBAL_NM_LVL1MAP and its corresponding norm values to be displayed. The norm type assigned to each level values in this rules table should match with that configured for that partitcular client in master table M_BM_NORMTYPEBYCLIENT for norm to be displayed in the front. If this does not match then NULL is displayed in the front",
78,"Norm values can be disabled from the front using master parameter 'DisableNorm' (ParamID = '091')",
79,"In order to disable adjusted norm values to be displayed in the front, we need to configure this in master table M_BM_NORMTYPEBYCLIENT. Field 'IsAdjustedNorm' is set as 'N' for this.",
80,"Standard Extract comprises of collection of modules. We need to configure these modules in rules table HR_GLOBAL_STDEXT_CLIENTMODULES to generate the reuiqred extracts for a clients. After the required modules are added to the rules table, it executes the necessary files from master table M_STDEXT_FILES_BY_MODULE.",
81,"In order to include UDFs in different extracts, we need to configure in rules HR_GLOBAL_STDEXT_UDFINFO. This table consists of mapping between UDFs from front tables to extracts and field name to be used in extract for the UDF field selected to be displayed.",
82,"A parameter table HR_GLOBAL_STDEXT_PARAMS is available for standard extracts where we can configure for Extract Prefix name to be appended to each extracts generated, parameter to distinguish accolade extract (when set as 'Y' it addeds few more fields to the extracts prepared as required for Accolade). Also, a parameter to exclude headers from extract is also available.",
83,"Discharge staus related to code '01','03','06','62','64' are only considered to calculate readmission",
84,"First, Parameter '027' in Master table M_ClientParams needs to be removed. Second, CHECKMMFOR4KEYS needs to be disabled for the client i.e. values for it needs to be set to 'N'.",
85,"In case of member switching, member will appear in individual form for selected level if present where as while drilling down to HAS form it always shows members latest LOA.",
86,"Yes, and its is takes from ProviderID logic as done in Engine. Basically, Engine trim and converts to upper case for provided ProviderID.",
87,"No. Same logic as used in Engine is applied for cohorts. ProviderID is considered from Engine rather than directly from Scrub.",
88,"The Difference is amount between scrub and for Demographic Anlysis (D05) is because,In D05, amount for unit is related to total amount contributed by members falling under a given unit irrespective of LOA, Whereas in Scrub/Claims we only consider amount related to the particular LOA selected for all members falling under the selected LOA.",
89,"Static cohorts are only visible to the owner of the cohort i.e. the person who created it",
90,"No, MEG does not consider all types of procedure codes. It takes 3 types of procedure codes - ICD9 Procedure, CPT4 and HCPCS.",
91,"When the member does not have an entry in co_eligs table, curflag for the member is taken as 'U' .",
92,"EM is calculated as Summation of member month for whose Subscriber Flag = 'S'",
93,"For Gold V1 to be executed for a client, its should be enabled in Master table M_Clients for fields UseGoldpt and UseGoldPlus4Rpt. For MIR there is no configuration required.",
94,"Generic Branded drugs are identified based on drugs in our master M_DRUGS. DrugTypeCode present in scrub is not used.",
95,"No. Each member should have a unique SSN.Processing issue is observed when failing to comply.",
96,"I do not have a defined gender, but I consider myself as a female.",
97,"The default logic of Procedure code is to populate the codes in following order CPT, HCPCS, REV, DRV and ICD",
98,"It is the count of number of months during which a member is effective under a plan.",
99,"PMPM or Per member per month is the ratio of total paid dollars with member month.",
100,discretion is not valid,r
101,discretion is not valid,r
102,this question is not valid,r
